ID_UNIQUE_ESP;X_CODE_PORTE_ESP;X_DIN_UTIL;X_ABR_T_ESP_DIN;X_ABR_CODE_CUS;N_TAUX_ACTIVITE_SAP;N_NB_PERSONNES
905;CE 2 544;2.1.B;2-1;BURE;;3;
927;CE 3 300;2.1.A;2-1;BURE;100;4;
928;CE 3 301;2.1.A;2-1;BURE;;1;
930;CE 3 303;2.1.A;2-1;BURE;80;1;
932;CE 3 305;2.1.A;2-1;BURE;190;2;
934;CE 3 307;2.1.A;2-1;BURE;100;1;
935;CE 3 308;2.2.B;2-2;BURE;230;7;
936;CE 3 309;2.3.A;2-3;BURE;100;1;
938;CE 3 311;2.1.A;2-1;BURE;100;1;
939;CE 3 312;2.1.B;2-1;BURE;230;3;
940;CE 3 313;2.1.A;2-1;BURE;100;1;
942;CE 3 315;2.1.A;2-1;BURE;100;1;
943;CE 3 316;2.1.B;2-1;BURE;380;4;
944;CE 3 317;4.2.A;4-2;ARCH;80;2;
945;CE 3 319;2.1.A;2-1;BURE;100;1;
947;CE 3 321;2.1.A;2-1;BURE;100;1;
966;CH A0 376;5.3.K;5-3;SACO;30;1;
968;CH A0 391;2.1.A;2-1;BURE;100;1;
974;CH A0 402;2.1.A;2-1;BURE;200;2;
979;CH A0 426;2.1.A;2-1;BURE;300;4;
996;CH A1 374;2.1.A;2-1;BURE;260;6;
997;CH A1 375;2.1.A;2-1;BURE;100;2;
1005;CH A1 423;3.5.0;3-5;LABO;40;3;
1006;CH A1 426;3.5.0;3-5;LABO;;5;
1016;CH A2 397;2.1.A;2-1;BURE;200;2;
1017;CH A2 398;2.1.A;2-1;BURE;300;5;
1021;CH A2 407;2.1.A;2-1;BURE;200;2;
1025;CH A2 425;2.1.A;2-1;BURE;280;4;
1030;CH A2 464;2.1.A;2-1;BURE;260;4;
1033;CH A2 494;2.1.A;2-1;BURE;300;4;
1034;CH A2 495;2.1.A;2-1;BURE;400;4;
1045;CH A3 398;2.1.A;2-1;BURE;150;6;
1051;CH A3 425;2.1.A;2-1;BURE;100;1;
1053;CH A3 435;2.1.A;2-1;BURE;300;3;
1055;CH A3 455;2.1.A;2-1;BURE;300;4;
1057;CH A3 465;2.1.A;2-1;BURE;200;4;
1059;CH A3 475;2.1.A;2-1;BURE;;2;
1060;CH A3 494;2.1.A;2-1;BURE;;2;
1061;CH A3 495;2.1.A;2-1;BURE;300;4;
1083;CH B0 424;2.7.A;2-7;BURE;100;1;
1103;CH B1 344;3.5.0;3-5;LABO;;7;
1105;CH B1 364;3.5.0;3-5;LABO;;2;
1108;CH B1 375;2.1.A;2-1;BURE;200;4;
1109;CH B1 391;2.1.A;2-1;BURE;;1;
1110;CH B1 392;2.1.A;2-1;BURE;;2;
1118;CH B1 424;2.1.A;2-1;BURE;200;2;
1119;CH B1 425;2.1.A;2-1;BURE;100;2;
1133;CH B2 355;2.1.A;2-1;BURE;100;3;
1136;CH B2 397;2.1.A;2-1;BURE;200;3;
1137;CH B2 398;2.1.A;2-1;BURE;;2;
1138;CH B2 401;2.1.A;2-1;BURE;100;2;
1139;CH B2 402;2.1.A;2-1;BURE;70;1;
1140;CH B2 407;2.1.A;2-1;BURE;200;2;
1141;CH B2 408;2.1.A;2-1;BURE;250;5;
1142;CH B2 424;2.1.A;2-1;BURE;370;4;
1143;CH B2 425;2.1.A;2-1;BURE;200;2;
1144;CH B2 434;3.5.B;3-5;LABO;200;2;
1150;CH B2 475;2.1.A;2-1;BURE;100;4;
1151;CH B2 484;3.5.B;3-5;LABO;100;1;
1153;CH B2 494;2.1.A;2-1;BURE;100;2;
1154;CH B2 495;2.1.A;2-1;BURE;200;3;
1169;CH B3 391;2.1.A;2-1;BURE;50;2;
1170;CH B3 424;2.1.A;2-1;BURE;300;4;
1171;CH B3 425;2.1.A;2-1;BURE;400;4;
1173;CH B3 435;3.5.P1;3-5;LABO;100;1;
1179;CH B3 485;2.1.A;2-1;BURE;100;1;
1180;CH B3 494;2.1.A;2-1;BURE;100;1;
1181;CH B3 495;2.1.A;2-1;BURE;80;1;
1207;CH C0 426;5.3.D;5-3;SACO;260;6;
1220;CH C1 392;2.1.A;2-1;BURE;100;6;
1222;CH C1 397;3.5.B;3-5;LABO;100;1;
1226;CH C1 407;3.5.B;3-5;LABO;100;1;
1235;CH C2 391;2.1.A;2-1;BURE;100;2;
1236;CH C2 392;2.1.A;2-1;BURE;200;2;
1238;CH C2 397;2.1.A;2-1;BURE;100;2;
1239;CH C2 398;2.1.A;2-1;BURE;100;2;
1240;CH C2 401;2.1.A;2-1;BURE;100;2;
1241;CH C2 402;2.1.A;2-1;BURE;100;2;
1244;CH C2 407;2.1.A;2-1;BURE;100;2;
1246;CH C2 424;2.1.A;2-1;BURE;;1;
1247;CH C2 425;2.1.A;2-1;BURE;35;3;
1250;CH C2 454;3.5.B;3-5;LABO;;1;
1255;CH C2 494;2.1.A;2-1;BURE;;2;
1266;CH C3 391;2.1.A;2-1;BURE;100;1;
1272;CH C3 425;2.1.A;2-1;BURE;100;2;
1274;CH C3 435;2.1.A;2-1;BURE;50;1;
1279;CH C3 475;2.1.A;2-1;BURE;480;8;
1281;CH C3 495;2.1.A;2-1;BURE;90;1;
1298;CH F0 492;3.5.F;3-5;LABO;100;1;
1299;CH F0 493;3.5.I;3-5;LABO;100;1;
1309;CH F0 542;2.1.A;2-1;BURE;200;2;
1312;CH F0 562;2.1.A;2-1;BURE;100;2;
1314;CH F0 582;2.1.A;2-1;BURE;50;2;
1316;CH F0 602;2.2.B;2-2;BURE;60;3;
1321;CH F0 622;2.1.A;2-1;BURE;;1;
1322;CH F0 625;2.1.A;2-1;BURE;50;4;
1323;CH F0 626;2.1.A;2-1;BURE;80;4;
1324;CH F0 627;2.1.A;2-1;BURE;;1;
1325;CH F0 628;2.1.A;2-1;BURE;100;1;
1326;CH F0 632;2.1.A;2-1;BURE;200;6;
1354;CH F1 493;2.1.A;2-1;BURE;300;4;
1355;CH F1 494;2.1.A;2-1;BURE;400;4;
1356;CH F1 495;2.1.A;2-1;BURE;250;3;
1357;CH F1 496;2.1.A;2-1;BURE;200;3;
1358;CH F1 497;2.1.A;2-1;BURE;100;2;
1361;CH F1 522;2.1.A;2-1;BURE;100;1;
1362;CH F1 532;2.1.A;2-1;BURE;100;4;
1363;CH F1 542;2.1.A;2-1;BURE;130;5;
1364;CH F1 562;2.1.A;2-1;BURE;;6;
1365;CH F1 602;2.1.A;2-1;BURE;100;3;
1369;CH F1 612;2.1.A;2-1;BURE;50;1;
1371;CH F1 622;2.1.A;2-1;BURE;200;3;
1372;CH F1 625;2.1.A;2-1;BURE;100;2;
1373;CH F1 626;2.1.A;2-1;BURE;100;2;
1374;CH F1 627;2.1.A;2-1;BURE;100;2;
1375;CH F1 628;2.1.A;2-1;BURE;;2;
1376;CH F1 632;2.1.A;2-1;BURE;300;3;
1377;CH F1 633;2.1.A;2-1;BURE;300;4;
1405;CH G-1 614;3.5.F;3-5;LABO;;1;
1421;CH G0 571;2.1.A;2-1;BURE;300;3;
1423;CH G0 591;2.1.A;2-1;BURE;300;3;
1424;CH G0 598;2.1.A;2-1;BURE;300;6;
1426;CH G0 613;2.1.A;2-1;BURE;100;2;
