ID_UNIQUE_ESP;X_CODE_PORTE_ESP;X_DIN_UTIL;X_ABR_T_ESP_DIN;X_ABR_CODE_CUS;N_TAUX_ACTIVITE_SAP;N_NB_PERSONNES
2683;ELE 231;2.1.A;2-1;BURE;100;1;
2684;ELE 232;2.1.A;2-1;BURE;100;3;
2685;ELE 233;2.1.A;2-1;BURE;100;3;
2686;ELE 234;2.1.A;2-1;BURE;100;1;
2687;ELE 235;2.1.A;2-1;BURE;100;3;
2688;ELE 236;2.1.A;2-1;BURE;200;3;
2689;ELE 237;2.1.A;2-1;BURE;200;3;
2690;ELE 238;2.1.A;2-1;BURE;100;2;
2691;ELE 239;2.1.A;2-1;BURE;100;2;
2692;ELE 240;2.1.A;2-1;BURE;200;2;
2693;ELE 241;2.1.A;2-1;BURE;100;2;
2708;ELG 011;2.1.A;2-1;BURE;401;6;
2709;ELG 019;5.3.H;5-3;SACO;100;2;
2712;ELG 023;3.4.R;3-4;LABO;300;3;
2714;ELG 030;2.1.A;2-1;BURE;100;1;
2715;ELG 031;2.1.A;2-1;BURE;300;3;
2716;ELG 032;2.1.A;2-1;BURE;50;2;
2717;ELG 033;2.1.A;2-1;BURE;90;1;
2718;ELG 034;2.1.A;2-1;BURE;150;2;
2719;ELG 035;2.1.A;2-1;BURE;;2;
2720;ELG 036;2.1.A;2-1;BURE;100;1;
2721;ELG 037;2.1.A;2-1;BURE;200;2;
2722;ELG 039;2.7.A;2-7;BURE;100;1;
2747;ELG 130;2.1.A;2-1;BURE;100;2;
2748;ELG 131;2.1.A;2-1;BURE;100;3;
2749;ELG 132;2.1.A;2-1;BURE;300;3;
2750;ELG 133;2.1.A;2-1;BURE;250;3;
2751;ELG 134;2.1.A;2-1;BURE;300;3;
2752;ELG 135;2.1.A;2-1;BURE;300;3;
2753;ELG 136;2.1.A;2-1;BURE;100;7;
2754;ELG 137;2.1.A;2-1;BURE;200;2;
2755;ELG 138;2.1.A;2-1;BURE;300;4;
2756;ELG 139;2.1.A;2-1;BURE;300;3;
2757;ELG 140;2.1.A;2-1;BURE;150;3;
2758;ELG 141;2.1.A;2-1;BURE;100;1;
2778;ELG 231;2.1.A;2-1;BURE;230;6;
2779;ELG 232;3.2.0;3-2;LABO;200;2;
2780;ELG 234;2.1.A;2-1;BURE;80;2;
2781;ELG 235;2.1.A;2-1;BURE;200;2;
2782;ELG 236;2.1.A;2-1;BURE;200;3;
2784;ELG 238;2.1.A;2-1;BURE;200;2;
2785;ELG 239;2.1.A;2-1;BURE;200;2;
2786;ELG 240;2.1.A;2-1;BURE;100;3;
2787;ELG 241;2.1.A;2-1;BURE;90;2;
2806;ELH 010;3.4.R;3-4;LABO;900;10;
2808;ELH 015;3.4.R;3-4;LABO;50;1;
2810;ELH 018;3.2.0;3-2;LABO;500;5;
2820;ELH 130;2.1.A;2-1;BURE;200;3;
2821;ELH 131;2.1.A;2-1;BURE;200;3;
2822;ELH 132;2.1.A;2-1;BURE;100;4;
2823;ELH 133;2.1.A;2-1;BURE;40;1;
2824;ELH 134;2.1.A;2-1;BURE;200;2;
2825;ELH 135;2.1.A;2-1;BURE;200;2;
2826;ELH 136;2.1.A;2-1;BURE;200;2;
2827;ELH 137;2.1.A;2-1;BURE;100;1;
2832;ELL 016;2.1.A;2-1;BURE;200;2;
2834;ELL 036;2.1.A;2-1;BURE;100;5;
2835;ELL 037;2.1.A;2-1;BURE;100;3;
2836;ELL 038;3.4.R;3-4;LABO;;2;
2849;ELL 116;2.1.A;2-1;BURE;190;5;
2850;ELL 117;2.3.B;2-3;BURE;500;7;
2851;ELL 136;2.1.A;2-1;BURE;100;2;
2852;ELL 137;2.1.A;2-1;BURE;300;5;
2853;ELL 138;2.1.A;2-1;BURE;100;3;
2854;ELL 139;2.1.A;2-1;BURE;250;5;
2855;ELL 140;2.1.A;2-1;BURE;300;4;
2856;ELL 141;2.1.A;2-1;BURE;100;3;
2876;GC A0 391;2.1.A;2-1;BURE;100;3;
2877;GC A0 392;2.1.A;2-1;BURE;150;2;
2879;GC A0 401;2.1.A;2-1;BURE;180;2;
2880;GC A0 402;2.1.A;2-1;BURE;200;2;
2881;GC A0 426;2.7.A;2-7;BURE;100;1;
2901;GC A1 345;2.1.A;2-1;BURE;120;2;
2902;GC A1 354;2.1.A;2-1;BURE;;1;
2903;GC A1 355;2.1.A;2-1;BURE;;1;
2905;GC A1 365;2.1.A;2-1;BURE;;1;
2906;GC A1 374;2.1.A;2-1;BURE;100;2;
2907;GC A1 375;2.1.A;2-1;BURE;20;1;
2911;GC A1 397;2.1.A;2-1;BURE;50;1;
2912;GC A1 398;2.1.A;2-1;BURE;100;2;
2914;GC A1 402;2.1.A;2-1;BURE;200;2;
2916;GC A1 408;2.1.A;2-1;BURE;100;1;
2930;GC A2 391;2.1.A;2-1;BURE;100;2;
2931;GC A2 392;2.1.A;2-1;BURE;70;2;
2933;GC A2 402;2.1.A;2-1;BURE;100;1;
2935;GC A2 424;2.1.A;2-1;BURE;;1;
2936;GC A2 425;2.1.A;2-1;BURE;80;2;
2937;GC A2 434;2.1.A;2-1;BURE;;2;
2938;GC A2 435;2.1.A;2-1;BURE;60;1;
2939;GC A2 444;2.1.A;2-1;BURE;;1;
2941;GC A2 454;2.1.A;2-1;BURE;100;4;
2943;GC A2 464;2.1.A;2-1;BURE;;1;
2944;GC A2 465;2.1.A;2-1;BURE;100;1;
2945;GC A2 474;2.1.A;2-1;BURE;100;1;
2946;GC A2 475;2.1.A;2-1;BURE;300;3;
2947;GC A2 484;2.1.A;2-1;BURE;100;5;
2948;GC A2 485;2.1.A;2-1;BURE;70;2;
2949;GC A2 494;2.1.A;2-1;BURE;200;3;
2950;GC A2 495;2.1.A;2-1;BURE;200;2;
2951;GC A2 504;2.1.A;2-1;BURE;600;7;
2952;GC A2 505;2.1.A;2-1;BURE;100;1;
2972;GC A3 398;2.1.A;2-1;BURE;100;1;
2973;GC A3 399;2.1.A;2-1;BURE;300;3;
2974;GC A3 424;2.1.A;2-1;BURE;100;1;
2975;GC A3 425;2.1.A;2-1;BURE;20;1;
2976;GC A3 434;2.1.A;2-1;BURE;100;3;
2978;GC A3 444;2.1.A;2-1;BURE;153;2;
2980;GC A3 454;2.1.A;2-1;BURE;;1;
2981;GC A3 455;2.1.A;2-1;BURE;200;2;
2983;GC A3 465;2.1.A;2-1;BURE;200;2;
2985;GC A3 475;2.1.A;2-1;BURE;100;1;
2986;GC A3 484;2.1.A;2-1;BURE;100;2;
2988;GC A3 494;2.1.A;2-1;BURE;200;2;
2989;GC A3 495;2.1.A;2-1;BURE;200;2;
2992;GC A3 504;2.1.A;2-1;BURE;50;1;
2993;GC A3 505;2.1.A;2-1;BURE;200;2;
2994;GC A3 514;2.1.A;2-1;BURE;100;1;
3022;GC B0 384;3.3.0;3-3;LABO;400;4;
3038;GC B1 383;2.1.A;2-1;BURE;;1;
3039;GC B1 384;2.1.A;2-1;BURE;60;2;
3040;GC B1 385;2.1.A;2-1;BURE;0;1;
3045;GC B1 397;2.1.A;2-1;BURE;100;3;
3046;GC B1 398;2.1.A;2-1;BURE;100;3;
3055;GC B2 383;2.1.A;2-1;BURE;60;1;
3056;GC B2 384;2.1.A;2-1;BURE;80;1;
3059;GC B2 386;2.1.A;2-1;BURE;100;3;
3060;GC B2 389;2.1.A;2-1;BURE;;1;
3062;GC B2 391;2.1.A;2-1;BURE;100;2;
3064;GC B2 399;2.1.A;2-1;BURE;200;2;
3065;GC B2 400;2.1.A;2-1;BURE;100;2;
3066;GC B2 401;2.1.A;2-1;BURE;90;2;
3067;GC B2 402;2.1.A;2-1;BURE;100;3;
3072;GC B2 435;2.1.A;2-1;BURE;100;2;
3073;GC B2 444;2.1.A;2-1;BURE;50;2;
3074;GC B2 445;2.1.A;2-1;BURE;200;2;
3075;GC B2 454;2.1.A;2-1;BURE;100;1;
3076;GC B2 455;2.1.A;2-1;BURE;100;2;
3077;GC B2 464;2.1.A;2-1;BURE;100;1;
3078;GC B2 465;2.1.A;2-1;BURE;101;2;
3079;GC B2 474;2.1.A;2-1;BURE;50;2;
3080;GC B2 475;2.1.A;2-1;BURE;100;2;
3081;GC B2 484;2.1.A;2-1;BURE;100;2;
3082;GC B2 485;2.1.A;2-1;BURE;50;2;
3083;GC B2 494;2.1.A;2-1;BURE;200;2;
3084;GC B2 495;2.1.A;2-1;BURE;200;2;
3085;GC B2 504;2.1.A;2-1;BURE;100;3;
3086;GC B2 505;2.1.A;2-1;BURE;25;1;
3087;GC B2 514;2.1.A;2-1;BURE;;2;
3088;GC B2 515;2.1.A;2-1;BURE;200;2;
3104;GC B3 425;2.1.A;2-1;BURE;300;3;
3105;GC B3 435;2.1.A;2-1;BURE;300;4;
3106;GC B3 444;2.1.A;2-1;BURE;180;7;
3107;GC B3 445;2.1.A;2-1;BURE;260;3;
3108;GC B3 454;2.1.A;2-1;BURE;100;6;
3109;GC B3 455;2.1.A;2-1;BURE;100;3;
3110;GC B3 464;2.1.A;2-1;BURE;200;2;
3111;GC B3 465;2.1.A;2-1;BURE;200;2;
3112;GC B3 474;2.1.A;2-1;BURE;100;2;
3113;GC B3 475;2.1.A;2-1;BURE;100;2;
3115;GC B3 484;4.2.A;4-2;ARCH;200;3;
3116;GC B3 485;2.1.A;2-1;BURE;200;2;
3118;GC B3 495;2.1.A;2-1;BURE;100;2;
3120;GC B3 505;2.1.A;2-1;BURE;50;1;
3121;GC B3 514;2.4.A;2-4;BURE;50;3;
3122;GC B3 515;2.1.A;2-1;BURE;;2;
3147;GC C0 414;3.9.A;3-9;LABO;190;3;
3160;GC C1 383;2.1.A;2-1;BURE;200;3;
3162;GC C1 385;2.1.A;2-1;BURE;20;1;
3163;GC C1 386;2.1.A;2-1;BURE;100;1;
3164;GC C1 391;2.1.A;2-1;BURE;200;2;
3165;GC C1 392;2.1.A;2-1;BURE;180;2;
3169;GC C1 397;2.1.A;2-1;BURE;70;1;
3170;GC C1 398;2.1.A;2-1;BURE;100;1;
3171;GC C1 401;3.5.0;3-5;LABO;300;3;
3172;GC C1 402;3.5.0;3-5;LABO;80;1;
3175;GC C1 407;2.1.A;2-1;BURE;20;1;
3176;GC C1 408;2.1.A;2-1;BURE;100;2;
3177;GC C1 413;2.1.B;2-1;BURE;100;5;
3178;GC C1 415;2.2.A;2-2;BURE;0;4;
3184;GC C2 383;2.1.A;2-1;BURE;;1;
3185;GC C2 384;2.1.A;2-1;BURE;100;2;
3186;GC C2 385;2.1.A;2-1;BURE;200;2;
3187;GC C2 386;2.1.A;2-1;BURE;40;2;
3188;GC C2 389;2.1.A;2-1;BURE;100;2;
3189;GC C2 390;2.1.B;2-1;BURE;300;4;
3191;GC C2 397;2.1.A;2-1;BURE;100;1;
3192;GC C2 398;2.1.A;2-1;BURE;100;1;
3193;GC C2 399;2.1.A;2-1;BURE;50;2;
3194;GC C2 400;2.1.A;2-1;BURE;100;3;
3195;GC C2 401;2.1.A;2-1;BURE;80;3;
3196;GC C2 402;2.1.A;2-1;BURE;80;2;
3198;GC C2 406;5.4.E;5-4;BIBL;400;5;
3199;GC C2 407;2.1.A;2-1;BURE;50;1;
3217;GC D0 397;2.1.A;2-1;BURE;;1;
3218;GC D0 398;2.1.A;2-1;BURE;100;1;
3219;GC D0 399;2.1.A;2-1;BURE;100;1;
3220;GC D0 400;2.1.A;2-1;BURE;120;3;
3221;GC D0 401;2.1.A;2-1;BURE;200;2;
3222;GC D0 402;2.1.A;2-1;BURE;200;2;
3223;GC D0 407;2.1.A;2-1;BURE;152;2;
3224;GC D0 408;2.1.A;2-1;BURE;200;2;
3226;GC D0 424;2.1.A;2-1;BURE;100;1;
3227;GC D0 425;2.1.A;2-1;BURE;100;1;
3240;GC D1 383;2.1.A;2-1;BURE;200;2;
3243;GC D1 386;2.1.A;2-1;BURE;100;1;
3244;GC D1 391;2.1.A;2-1;BURE;160;4;
3245;GC D1 392;2.1.A;2-1;BURE;;2;
3247;GC D1 397;2.1.A;2-1;BURE;100;1;
3248;GC D1 398;2.1.A;2-1;BURE;100;1;
3249;GC D1 401;2.1.A;2-1;BURE;0;3;
3250;GC D1 402;2.1.A;2-1;BURE;;7;
3251;GC D1 407;2.1.A;2-1;BURE;100;1;
3252;GC D1 408;2.1.A;2-1;BURE;50;1;
3253;GC D1 413;2.1.A;2-1;BURE;100;2;
3254;GC D1 414;2.1.A;2-1;BURE;160;4;
3255;GC D1 415;2.1.A;2-1;BURE;10;1;
3256;GC D1 416;2.1.A;2-1;BURE;100;3;
3268;GC D2 383;2.1.A;2-1;BURE;75;3;
3269;GC D2 385;2.1.A;2-1;BURE;100;2;
3270;GC D2 386;2.1.A;2-1;BURE;100;1;
3271;GC D2 391;2.1.A;2-1;BURE;100;1;
3272;GC D2 392;2.1.A;2-1;BURE;100;1;
3275;GC D2 397;2.1.A;2-1;BURE;90;3;
3276;GC D2 398;2.1.A;2-1;BURE;100;2;
3277;GC D2 401;2.1.A;2-1;BURE;200;2;
3278;GC D2 402;2.1.A;2-1;BURE;180;2;
3280;GC D2 408;2.1.A;2-1;BURE;100;1;
3281;GC D2 413;2.1.A;2-1;BURE;300;3;
3282;GC D2 414;2.1.A;2-1;BURE;60;3;
3283;GC D2 415;2.1.A;2-1;BURE;60;4;
3284;GC D2 416;2.1.A;2-1;BURE;200;2;
3322;GC F0 485;2.1.A;2-1;BURE;200;2;
3323;GC F0 495;2.1.A;2-1;BURE;50;4;
3327;GC F0 532;3.2.A;3-2;LABO;560;11;
3348;GC F1 484;2.1.A;2-1;BURE;100;2;
3351;GC F1 485;2.1.A;2-1;BURE;100;1;
3352;GC F1 494;2.1.A;2-1;BURE;100;1;
3353;GC F1 495;2.1.A;2-1;BURE;;1;
3375;GC G0 484;2.1.A;2-1;BURE;100;2;
3377;GC G0 494;2.1.A;2-1;BURE;300;3;
3385;GC G0 557;3.3.0;3-3;LABO;240;6;
3409;GC G1 494;2.1.A;2-1;BURE;50;2;
3410;GC G1 507;2.1.A;2-1;BURE;100;1;
3413;GC G1 527;2.1.A;2-1;BURE;100;3;
3414;GC G1 537;2.1.A;2-1;BURE;50;1;
3417;GC G1 547;2.1.A;2-1;BURE;20;1;
3418;GC G1 557;2.1.A;2-1;BURE;50;2;
3419;GC G1 567;2.1.A;2-1;BURE;150;2;
3420;GC G1 577;2.1.A;2-1;BURE;100;1;
3421;GC G1 587;2.1.A;2-1;BURE;200;2;
3422;GC G1 597;2.8.D;2-8;BURE;;2;
3467;GC H1 612;3.2.B;3-2;LABO;100;2;
3468;GC H1 613;2.1.A;2-1;BURE;190;6;
3470;GC H1 614;2.1.A;2-1;BURE;190;4;
3486;GC H2 611;2.1.A;2-1;BURE;100;3;
3487;GC H2 612;2.1.A;2-1;BURE;80;1;
3488;GC H2 613;2.1.A;2-1;BURE;270;10;
3499;GC H2 692;2.3.A;2-3;BURE;100;1;
3526;GR A0 373;2.1.A;2-1;BURE;;2;
3527;GR A0 374;3.3.0;3-3;LABO;100;4;
3528;GR A0 382;2.1.A;2-1;BURE;100;2;
3529;GR A0 392;2.1.A;2-1;BURE;100;1;
3530;GR A0 402;2.1.A;2-1;BURE;110;3;
3531;GR A0 412;2.1.A;2-1;BURE;100;3;
3532;GR A0 434;2.1.A;2-1;BURE;100;2;
3533;GR A0 445;2.1.A;2-1;BURE;200;2;
3534;GR A0 455;2.1.A;2-1;BURE;200;3;
3557;GR A1 382;2.1.A;2-1;BURE;180;3;
3558;GR A1 392;2.1.A;2-1;BURE;280;5;
3560;GR A1 424;2.1.A;2-1;BURE;;2;
3561;GR A1 425;2.1.A;2-1;BURE;;3;
3562;GR A1 434;2.1.A;2-1;BURE;80;2;
3563;GR A1 444;2.1.A;2-1;BURE;100;7;
3564;GR A1 445;2.1.A;2-1;BURE;200;3;
3565;GR A1 454;2.1.A;2-1;BURE;100;2;
3566;GR A1 455;2.1.A;2-1;BURE;200;2;
3567;GR A1 464;2.1.A;2-1;BURE;180;3;
3568;GR A1 465;2.1.A;2-1;BURE;100;5;
3569;GR A1 474;2.1.A;2-1;BURE;100;2;
3570;GR A1 475;2.1.A;2-1;BURE;200;3;
3584;GR A2 355;2.1.A;2-1;BURE;;3;
3586;GR A2 382;2.1.A;2-1;BURE;100;2;
3587;GR A2 392;2.1.A;2-1;BURE;100;1;
3588;GR A2 424;2.1.A;2-1;BURE;100;1;
3589;GR A2 425;2.1.A;2-1;BURE;176;4;
3590;GR A2 434;2.1.A;2-1;BURE;100;1;
3591;GR A2 435;2.1.A;2-1;BURE;0;5;
3592;GR A2 444;2.1.A;2-1;BURE;300;3;
3593;GR A2 445;2.1.A;2-1;BURE;100;3;
3594;GR A2 454;2.1.A;2-1;BURE;100;3;
3595;GR A2 455;2.1.A;2-1;BURE;400;5;
3596;GR A2 464;2.1.A;2-1;BURE;150;3;
3597;GR A2 474;2.1.A;2-1;BURE;100;3;
3634;GR B0 420;2.1.A;2-1;BURE;200;3;
3657;GR B1 391;2.1.A;2-1;BURE;200;3;
3660;GR B1 399;2.1.A;2-1;BURE;100;1;
3661;GR B1 400;2.1.A;2-1;BURE;80;2;
3668;GR B1 423;2.1.B;2-1;BURE;250;3;
3677;GR B2 373;2.1.A;2-1;BURE;280;3;
3678;GR B2 374;2.1.A;2-1;BURE;50;3;
3679;GR B2 375;2.1.A;2-1;BURE;;6;
3680;GR B2 376;2.1.A;2-1;BURE;;3;
3681;GR B2 387;2.1.A;2-1;BURE;150;4;
3682;GR B2 389;2.1.A;2-1;BURE;200;3;
3683;GR B2 390;2.1.A;2-1;BURE;100;3;
3684;GR B2 391;2.1.A;2-1;BURE;60;1;
3685;GR B2 397;2.1.A;2-1;BURE;;2;
3687;GR B2 407;2.1.A;2-1;BURE;;2;
3688;GR B2 417;2.1.A;2-1;BURE;;3;
3689;GR B2 425;2.1.A;2-1;BURE;;1;
3690;GR B2 426;2.1.A;2-1;BURE;100;2;
3741;GR C1 482;2.1.A;2-1;BURE;100;1;
3748;GR C1 507;2.1.A;2-1;BURE;200;3;
3749;GR C1 512;2.1.A;2-1;BURE;200;2;
3751;GR C1 522;2.1.A;2-1;BURE;200;2;
3753;GR C1 527;2.1.A;2-1;BURE;80;2;
3754;GR C1 532;2.1.A;2-1;BURE;100;1;
3756;GR C1 535;2.3.B;2-3;BURE;0;14;
3757;GR C1 537;2.1.A;2-1;BURE;100;3;
3758;GR C1 542;2.1.A;2-1;BURE;60;1;
3761;GR C1 547;2.1.A;2-1;BURE;90;3;
3762;GR C1 552;2.1.A;2-1;BURE;80;1;
3763;GR C1 557;2.1.A;2-1;BURE;;1;
3765;GR C1 565;2.1.A;2-1;BURE;200;2;
3766;GR C1 575;2.1.A;2-1;BURE;90;4;
3783;GR C2 505;2.1.B;2-1;BURE;45;1;
3785;GR C2 515;2.1.A;2-1;BURE;20;1;
3787;GR C2 525;2.1.A;2-1;BURE;250;3;
3788;GR C2 534;2.1.A;2-1;BURE;70;4;
3790;GR C2 544;2.1.A;2-1;BURE;100;3;
3791;GR C2 545;2.1.A;2-1;BURE;400;5;
3792;GR C2 554;2.1.A;2-1;BURE;120;4;
3793;GR C2 555;2.1.A;2-1;BURE;300;3;
3794;GR C2 564;2.1.A;2-1;BURE;100;3;
3795;GR C2 565;2.1.A;2-1;BURE;100;2;
3796;GR C2 574;2.1.A;2-1;BURE;200;2;
3797;GR C2 575;2.1.A;2-1;BURE;200;2;
3821;INF 011;2.1.A;2-1;BURE;100;1;
3822;INF 012;2.1.A;2-1;BURE;100;2;
3823;INF 013;2.1.A;2-1;BURE;100;1;
3824;INF 014;2.1.A;2-1;BURE;100;1;
3825;INF 015;2.1.A;2-1;BURE;90;1;
3826;INF 016;2.1.A;2-1;BURE;50;1;
3849;INF 111;3.2.0;3-2;LABO;;2;
3850;INF 112;2.1.A;2-1;BURE;;1;
3858;INF 130;3.4.C;3-4;LABO;200;2;
3859;INF 131;2.1.A;2-1;BURE;100;1;
3860;INF 132;2.1.A;2-1;BURE;200;2;
3861;INF 133;2.1.A;2-1;BURE;200;4;
3862;INF 134;2.1.A;2-1;BURE;120;2;
3863;INF 135;2.1.A;2-1;BURE;20;1;
3864;INF 136;2.1.A;2-1;BURE;95;3;
3865;INF 137;2.1.A;2-1;BURE;100;2;
3866;INF 138;2.1.A;2-1;BURE;145;2;
3867;INF 139;2.1.A;2-1;BURE;175;2;
3868;INF 141;2.1.A;2-1;BURE;100;2;
3890;INF 218;2.2.A;2-2;BURE;90;3;
3892;INF 230;2.1.A;2-1;BURE;100;1;
3893;INF 231;2.1.A;2-1;BURE;200;2;
3894;INF 232;2.1.A;2-1;BURE;100;1;
3895;INF 233;2.1.A;2-1;BURE;80;1;
3896;INF 234;2.1.A;2-1;BURE;100;1;
3897;INF 235;2.1.A;2-1;BURE;100;3;
3898;INF 236;2.1.A;2-1;BURE;100;1;
3899;INF 237;2.1.A;2-1;BURE;50;1;
3901;INF 239;2.1.A;2-1;BURE;200;2;
3902;INF 240;2.1.A;2-1;BURE;100;2;
3903;INF 241;2.1.A;2-1;BURE;100;2;
3923;INF 326;2.1.A;2-1;BURE;250;9;
3925;INF 330;2.1.A;2-1;BURE;140;4;
3926;INF 331;2.1.A;2-1;BURE;100;2;
3927;INF 332;2.1.A;2-1;BURE;100;2;
3928;INF 333;2.1.A;2-1;BURE;100;5;
3929;INF 334;2.1.A;2-1;BURE;300;7;
3930;INF 335;2.1.A;2-1;BURE;300;6;
3931;INF 336;2.1.A;2-1;BURE;300;6;
3932;INF 337;2.1.A;2-1;BURE;100;4;
3933;INF 338;2.1.A;2-1;BURE;50;4;
3934;INF 339;2.1.A;2-1;BURE;200;4;
3935;INF 340;2.1.A;2-1;BURE;115;5;
3936;INF 341;2.1.A;2-1;BURE;100;4;
3970;INJ 033;2.1.A;2-1;BURE;200;2;
3971;INJ 035;2.1.A;2-1;BURE;;1;
3972;INJ 036;2.1.A;2-1;BURE;100;2;
3973;INJ 037;2.1.A;2-1;BURE;150;2;
3974;INJ 039;2.1.A;2-1;BURE;200;2;
3975;INJ 041;2.1.A;2-1;BURE;100;2;
3995;INJ 112;2.1.A;2-1;BURE;100;1;
3996;INJ 113;2.1.A;2-1;BURE;100;1;
4001;INJ 130;2.1.A;2-1;BURE;200;2;
4002;INJ 131;2.1.A;2-1;BURE;100;2;
4007;INJ 136;2.1.A;2-1;BURE;;1;
4009;INJ 138;2.1.A;2-1;BURE;100;1;
4010;INJ 139;2.1.A;2-1;BURE;100;2;
4011;INJ 140;2.1.A;2-1;BURE;;1;
4012;INJ 141;2.1.A;2-1;BURE;100;3;
4030;INJ 211;2.2.A;2-2;BURE;400;4;
4032;INJ 216;3.4.I;3-4;LABO;100;2;
4034;INJ 230;2.1.A;2-1;BURE;100;4;
4035;INJ 231;2.1.A;2-1;BURE;100;1;
4036;INJ 232;2.1.A;2-1;BURE;30;1;
4037;INJ 233;2.1.A;2-1;BURE;100;5;
4038;INJ 234;2.1.A;2-1;BURE;80;2;
4039;INJ 235;2.1.A;2-1;BURE;200;3;
4040;INJ 236;2.1.A;2-1;BURE;;3;
4041;INJ 237;2.1.A;2-1;BURE;;1;
4042;INJ 238;2.1.A;2-1;BURE;200;2;
4043;INJ 239;2.1.A;2-1;BURE;200;2;
4044;INJ 240;2.1.A;2-1;BURE;100;1;
4045;INJ 241;2.1.A;2-1;BURE;;1;
4065;INJ 330;2.1.A;2-1;BURE;100;2;
4066;INJ 331;2.1.A;2-1;BURE;100;1;
4067;INJ 332;2.1.A;2-1;BURE;100;2;
4068;INJ 333;2.1.A;2-1;BURE;100;1;
4069;INJ 334;2.1.A;2-1;BURE;150;3;
4070;INJ 335;2.1.A;2-1;BURE;200;2;
4071;INJ 336;2.1.A;2-1;BURE;100;2;
4072;INJ 337;2.1.A;2-1;BURE;100;2;
4073;INJ 338;2.1.A;2-1;BURE;200;3;
4074;INJ 339;2.1.A;2-1;BURE;50;1;
4075;INJ 340;2.1.A;2-1;BURE;100;1;
4076;INJ 341;2.1.A;2-1;BURE;100;2;
4102;INM 010;3.4.I;3-4;LABO;100;2;
4105;INM 013;3.2.0;3-2;LABO;100;1;
4106;INM 014;2.1.A;2-1;BURE;;1;
4110;INM 020;3.2.0;3-2;LABO;100;2;
4114;INM 035;3.4.I;3-4;LABO;100;1;
4118;INM 080;2.7.A;2-7;BURE;100;1;
4139;INM 163;1.5.D;1-5;LSOC;;1;
4142;INM 168;2.5.A;2-5;BURE;80;2;
4185;INN 011;2.1.B;2-1;BURE;160;2;
4186;INN 012;2.2.A;2-2;BURE;390;5;
4187;INN 015;2.2.A;2-2;BURE;280;4;
4188;INN 017;2.1.A;2-1;BURE;100;1;
4189;INN 018;2.1.A;2-1;BURE;;6;
4192;INN 032;2.1.A;2-1;BURE;115;4;
4193;INN 033;2.1.A;2-1;BURE;140;2;
4194;INN 035;2.1.A;2-1;BURE;170;2;
4195;INN 036;2.1.A;2-1;BURE;100;1;
4196;INN 037;2.1.A;2-1;BURE;80;1;
4197;INN 038;2.1.A;2-1;BURE;100;1;
4198;INN 039;2.1.A;2-1;BURE;90;2;
4199;INN 040;2.1.A;2-1;BURE;100;1;
4219;INN 111;2.1.B;2-1;BURE;120;3;
4220;INN 112;2.2.B;2-2;BURE;140;4;
4221;INN 115;2.2.A;2-2;BURE;;8;
4222;INN 116;2.3.A;2-3;BURE;100;1;
4223;INN 118;2.2.A;2-2;BURE;1330;14;
4224;INN 130;2.1.A;2-1;BURE;100;2;
4225;INN 131;2.1.A;2-1;BURE;100;2;
4227;INN 133;2.1.A;2-1;BURE;60;2;
4228;INN 134;2.1.A;2-1;BURE;50;4;
4229;INN 135;2.1.A;2-1;BURE;;2;
4230;INN 136;2.1.A;2-1;BURE;180;2;
4231;INN 137;2.1.A;2-1;BURE;200;2;
4232;INN 138;2.1.A;2-1;BURE;100;1;
4233;INN 139;2.1.A;2-1;BURE;200;2;
4234;INN 140;2.1.A;2-1;BURE;170;2;
4235;INN 141;2.1.A;2-1;BURE;140;2;
4253;INN 215;3.4.I;3-4;LABO;;1;
4254;INN 216;2.1.A;2-1;BURE;300;3;
4256;INN 231;2.1.A;2-1;BURE;200;4;
4257;INN 233;2.1.A;2-1;BURE;400;4;
4258;INN 235;2.1.A;2-1;BURE;350;4;
4259;INN 236;2.1.A;2-1;BURE;125;2;
4260;INN 237;2.1.A;2-1;BURE;100;2;
4261;INN 238;2.1.A;2-1;BURE;50;1;
4262;INN 239;2.1.A;2-1;BURE;80;2;
4263;INN 240;2.1.A;2-1;BURE;100;3;
4264;INN 241;2.1.A;2-1;BURE;100;2;
4280;INN 311;2.1.A;2-1;BURE;50;2;
4281;INN 312;2.1.A;2-1;BURE;50;3;
4282;INN 313;2.1.A;2-1;BURE;50;1;
4283;INN 314;2.1.A;2-1;BURE;100;1;
4284;INN 315;2.1.A;2-1;BURE;150;2;
4285;INN 316;2.1.A;2-1;BURE;;1;
4287;INN 318;2.1.A;2-1;BURE;100;3;
4288;INN 319;2.1.A;2-1;BURE;300;3;
4312;INR 012;3.4.I;3-4;LABO;3300;35;
4315;INR 030;2.1.A;2-1;BURE;200;2;
4316;INR 031;2.1.A;2-1;BURE;200;2;
4317;INR 032;2.1.A;2-1;BURE;100;1;
4318;INR 033;2.1.A;2-1;BURE;200;2;
4319;INR 034;2.1.A;2-1;BURE;200;2;
4321;INR 036;2.1.A;2-1;BURE;200;2;
4322;INR 037;2.1.A;2-1;BURE;200;2;
4323;INR 038;2.1.A;2-1;BURE;100;2;
4324;INR 039;2.1.A;2-1;BURE;100;1;
4325;INR 040;2.1.A;2-1;BURE;100;1;
4342;INR 111;2.1.A;2-1;BURE;100;2;
4345;INR 116;2.1.A;2-1;BURE;100;2;
4348;INR 130;2.1.A;2-1;BURE;100;2;
